"Format","AiM CSV File"
"Session","Rust kart"
"Vehicle","Rotax Max"
"Racer","Maxim"
"Championship",""
"Comment","Rustavi practice"
"Date","Saturday, July 26, 2025"
"Time","11:15 AM"
"Sample Rate","20"
"Duration","462.996"
"Segment","Session"
"Beacon Markers","68.943","131.836","193.826","255.808","317.364","378.351","444.859","462.996"
"Segment Times","1:08.943","1:02.893","1:01.990","1:01.982","1:01.556","1:00.987","1:06.508","0:18.137"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","InlineAcc","LateralAcc","VerticalAcc","G Lat Smth","G Long Smth","G sum smth","G Lat imu f","G Long imu f"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","g","g","g","g","g"

"0.000","21.0339","13","0.0000","0.0000","0.1395","47.5484","0.0000","410.2782","9.2000","0.1700","10000.0000","41.56628374","44.95084408","0.2905","-0.2272","-1.1689","-0.0000","0.0000","0.0000","-0.2272","0.2905"
"0.050","21.0339","13","0.0000","0.0000","0.1395","47.5484","0.0000","410.2782","9.2000","0.1700","10000.0000","41.56628374","44.95084408","0.2979","-0.2595","-1.2256","0.0000","0.0000","0.0005","-0.2600","0.3005"
"0.100","21.0339","13","0.0000","0.0000","0.1395","47.5484","0.0000","410.2782","9.2000","0.1700","10000.0000","41.56628374","44.95084408","0.3657","-0.2603","-1.1621","0.0000","0.0000","-0.0032","-0.2603","0.3657"
"0.150","21.0414","13","-0.0044","0.0053","0.1395","47.5315","-0.4217","410.2788","9.2000","0.1700","794.2158","41.56628382","44.95084418","0.3313","-0.3220","-1.0957","0.0197","0.0053","0.0291","-0.3160","0.3326"
"0.200","21.2100","13","-0.0185","0.0935","0.1312","47.3748","-1.8106","410.2852","9.2000","0.1700","186.4384","41.56628565","44.95084680","0.3618","-0.2949","-1.2002","-0.0109","0.0935","0.0953","-0.2949","0.3657"
"0.250","21.4351","13","0.1885","0.1445","0.1040","48.2290","17.9452","410.2726","9.2000","0.1700","19.0106","41.56628740","44.95084970","0.3940","-0.3303","-1.2520","0.0053","0.1445","0.1259","-0.2980","0.3947"
"0.300","21.7282","13","0.1116","0.1561","0.1063","48.8648","10.5294","410.2774","9.2000","0.1700","32.8427","41.56628921","44.95085260","0.4185","-0.2976","-1.2178","-0.0029","0.1561","0.1450","-0.3074","0.3984"
"0.350","21.9274","13","-0.0894","0.1076","0.1068","48.5783","-8.3047","410.2801","9.2000","0.1700","42.0224","41.56629115","44.95085538","0.4846","-0.2988","-1.1631","-0.0073","0.1076","0.1485","-0.3079","0.4064"
