"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","Rotax Max"
"Racer","Denis"
"Championship",""
"Comment","2nd Run"
"Date","Sunday, October 12, 2025"
"Time","11:10 AM"
"Sample Rate","20"
"Duration","652.99"
"Segment","Session"
"Beacon Markers","73.442","135.656","196.214","256.77","319.757","382.918","443.103","509.775","575.084","638.086","652.99"
"Segment Times","1:13.442","1:02.214","1:00.558","1:00.556","1:02.987","1:03.161","1:00.185","1:06.672","1:05.309","1:03.002","0:14.904"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","0.4467","20","0.0000","0.0000","-4.8228","20.0287","0.0000","417.7893","15.3000","0.2000","10000.0000","41.56617937","44.95069646","19.6875","-0.5840","0.0194","-0.8286","0.8740","2.1387","2.0117","4.0280","0.0000","0.0000"
"0.050","0.4467","20","0.0000","0.0000","-4.8228","20.0287","0.0000","417.7893","15.3000","0.2000","10000.0000","41.56617937","44.95069646","19.6875","-0.5843","0.0196","-0.8289","0.8901","2.1410","2.0117","4.0280","0.0000","0.0051"
"0.100","0.4467","20","0.0000","0.0000","-4.8228","20.0287","0.0000","417.7893","15.3000","0.2000","10000.0000","41.56617937","44.95069646","19.6875","-0.5902","0.0211","-0.8291","0.9438","2.1484","2.0098","4.0280","0.0000","0.0108"
"0.150","0.4034","20","0.0000","0.0000","-3.1423","27.2283","0.0000","417.7933","15.3000","0.1900","10000.0000","41.56617946","44.95069642","19.6875","-0.6011","0.0235","-0.8268","0.9650","2.1473","2.0098","4.0280","0.0000","0.0167"
"0.200","0.3600","20","0.0000","0.0000","-1.4617","34.4280","0.0000","417.7973","15.3000","0.1800","10000.0000","41.56617955","44.95069638","19.6875","-0.6122","0.0255","-0.8226","0.9472","2.1359","2.0141","4.0280","0.0000","0.0220"
"0.250","0.3812","20","0.0000","0.0000","-3.7866","48.6608","0.0000","417.7834","15.3000","0.1650","10000.0000","41.56617960","44.95069638","19.6875","-0.6208","0.0256","-0.8172","0.8646","2.1123","2.0342","4.0280","0.0000","0.0272"
"0.300","0.4025","20","0.0000","0.0000","-6.1115","62.8936","0.0000","417.7695","15.3000","0.1500","10000.0000","41.56617965","44.95069638","19.6875","-0.6238","0.0240","-0.8128","0.7504","2.0910","2.0586","4.0280","0.0000","0.0327"
"0.350","0.4646","20","0.0000","0.0000","-5.6382","56.8998","0.0000","417.7649","15.3000","0.1550","10000.0000","41.56617975","44.95069642","19.6875","-0.6240","0.0220","-0.8084","0.6061","2.0738","2.0766","4.0280","0.0000","0.0387"
