"Format","AiM CSV File"
"Session","RIM B"
"Vehicle",""
"Racer","Ivan"
"Championship",""
"Comment",""
"Date","Saturday, November 1, 2025"
"Time","11:19 AM"
"Sample Rate","20"
"Duration","906.988"
"Segment","Session"
"Beacon Markers","112.345","187.23","258.717","328.455","398.147","469.118","534.948","599.63","667.904","734.046","807.786","883.051","906.988"
"Segment Times","1:52.345","1:14.885","1:11.487","1:09.738","1:09.692","1:10.971","1:05.830","1:04.682","1:08.274","1:06.142","1:13.740","1:15.265","0:23.937"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1672","0.0754","-0.1979","12.2031","19.3281","18.5000","4.0540","0.0000","0.0000"
"0.050","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1672","0.0754","-0.1979","12.2031","19.3281","18.5000","4.0540","2961.0000","0.0363"
"0.100","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1672","0.0754","-0.1979","12.2031","19.3281","18.5000","4.0540","2862.8501","0.0726"
"0.150","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1672","0.0754","-0.1979","12.2031","19.3281","18.5000","4.0540","3036.5500","0.1090"
"0.200","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1672","0.0754","-0.1979","12.1996","19.3352","18.5070","4.0540","2933.7000","0.1453"
"0.250","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1666","0.0750","-0.1959","11.8867","19.4797","19.1781","4.0540","2836.8000","0.1816"
"0.300","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1648","0.0730","-0.1849","10.4512","19.8375","21.9352","4.0540","2938.5000","0.2179"
"0.350","2.6151","4","0.0000","0.0000","-8.0668","156.2013","0.0000","404.0709","200.0000","1.1800","10000.0000","41.56593584","44.95074579","16.0000","-0.1622","0.0698","-0.1624","7.9766","20.0148","25.8570","4.0540","2886.0000","0.2543"
