"Format","AiM CSV File"
"Session","RIM B"
"Vehicle",""
"Racer","Ivan"
"Championship",""
"Comment",""
"Date","Saturday, November 1, 2025"
"Time","11:55 AM"
"Sample Rate","20"
"Duration","757.99"
"Segment","Session"
"Beacon Markers","92.684","166.527","235.992","304.91","381.858","447.497","514.317","579.174","643.511","726.087","757.99"
"Segment Times","1:32.684","1:13.843","1:09.465","1:08.918","1:16.948","1:05.639","1:06.820","1:04.857","1:04.337","1:22.576","0:31.903"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6191","-0.0385","0.0480","12.5078","19.7344","18.3906","4.0220","0.0000","0.0000"
"0.050","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6191","-0.0385","0.0480","12.5078","19.7344","18.3906","4.0220","4330.5000","0.0805"
"0.100","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6191","-0.0385","0.0480","12.5078","19.7344","18.3906","4.0220","4593.6001","0.1610"
"0.150","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6191","-0.0385","0.0480","12.5078","19.7344","18.3906","4.0220","4308.2002","0.2415"
"0.200","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6191","-0.0385","0.0480","12.5008","19.7344","18.4047","4.0220","4027.0500","0.3220"
"0.250","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6173","-0.0387","0.0480","12.1684","19.7344","18.9937","4.0220","3894.1001","0.4026"
"0.300","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.6063","-0.0393","0.0484","10.7500","19.5914","21.4586","4.0220","4046.3501","0.4831"
"0.350","5.7969","8","0.0000","0.0000","2.7609","21.6407","0.0000","414.6936","200.0000","0.3400","10000.0000","41.56611636","44.95068657","16.7969","-0.5797","-0.0420","0.0499","8.4414","19.0914","24.9289","4.0220","4449.1001","0.5636"
