"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","Rotax Max"
"Racer","Denis"
"Championship","Tbilisi_Practice"
"Comment",""
"Date","Saturday, November 8, 2025"
"Time","10:16 AM"
"Sample Rate","20"
"Duration","618.991"
"Segment","Session"
"Beacon Markers","109.573","172.545","234.474","296.102","356.214","416.156","477.431","537.715","598.793","618.991"
"Segment Times","1:49.573","1:02.972","1:01.929","1:01.628","1:00.112","0:59.942","1:01.275","1:00.284","1:01.078","0:20.198"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","0.0509","12","0.0000","0.0000","57.5204","-68.4782","0.0000","410.2734","15.6000","0.2200","10000.0000","41.56634190","44.95090829","12.5938","-0.6655","0.0063","-0.7700","0.7451","2.4727","1.8701","3.8540","0.0000","0.0000"
"0.050","0.0545","12","0.0000","0.0000","53.1284","-62.6376","0.0000","410.2750","15.6000","0.2212","10000.0000","41.56634192","44.95090829","12.5938","-0.6670","0.0066","-0.7720","0.7400","2.4824","1.8716","3.8540","0.0000","0.0007"
"0.100","0.0693","12","0.0000","0.0000","34.8281","-38.3017","0.0000","410.2816","15.6000","0.2262","10000.0000","41.56634198","44.95090829","12.5940","-0.6670","0.0075","-0.7739","0.7388","2.4844","1.8721","3.8540","0.0000","0.0016"
"0.150","0.0929","12","0.0000","0.0000","21.1506","-1.6922","0.0000","410.2894","15.6000","0.2252","10000.0000","41.56634203","44.95090830","12.5990","-0.6658","0.0096","-0.7761","0.7454","2.4756","1.8735","3.8540","0.0000","0.0027"
"0.200","0.1444","12","0.0000","0.0000","22.1115","73.7838","0.0000","410.3006","15.6000","0.2052","10000.0000","41.56634200","44.95090834","12.6040","-0.6621","0.0129","-0.7781","0.7625","2.4531","1.8760","3.8540","0.0000","0.0043"
"0.250","0.1848","12","0.0000","0.0000","23.2423","135.9922","0.0000","410.3111","15.6000","0.1948","10000.0000","41.56634196","44.95090838","12.6090","-0.6572","0.0163","-0.7783","0.7798","2.4316","1.8770","3.8540","0.0000","0.0067"
"0.300","0.1900","12","0.0000","0.0000","24.9110","156.1865","0.0000","410.3190","15.6000","0.2148","10000.0000","41.56634190","44.95090843","12.6140","-0.6533","0.0200","-0.7781","0.7964","2.4092","1.8770","3.8540","0.0000","0.0093"
"0.350","0.1849","12","0.0000","0.0000","26.1528","169.1463","0.0000","410.3252","15.6000","0.2276","10000.0000","41.56634186","44.95090847","12.6189","-0.6519","0.0234","-0.7764","0.8086","2.3926","1.8760","3.8540","0.0000","0.0119"
