"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","Rotax Max"
"Racer","Denis"
"Championship","Tbilisi_Quali"
"Comment",""
"Date","Saturday, November 8, 2025"
"Time","11:26 AM"
"Sample Rate","20"
"Duration","609.991"
"Segment","Session"
"Beacon Markers","99.518","162.541","224.633","286.094","346.16","405.666","471.747","533.53","593.266","609.991"
"Segment Times","1:39.518","1:03.023","1:02.092","1:01.461","1:00.066","0:59.506","1:06.081","1:01.783","0:59.736","0:16.725"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.3770","-0.3140","-1.6045","14.3984","16.5000","13.6953","3.8100","0.0000","0.0000"
"0.050","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.3770","-0.3140","-1.6045","14.3984","16.5000","13.6953","3.8100","3535.0000","0.1241"
"0.100","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.3770","-0.3140","-1.6045","14.3984","16.5000","13.6953","3.8100","4154.4800","0.2483"
"0.150","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.3770","-0.3136","-1.6041","14.4020","16.5422","13.8215","3.8100","4205.8296","0.3724"
"0.200","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.3788","-0.3099","-1.5969","14.4594","17.1688","15.3750","3.8100","4575.1001","0.4966"
"0.250","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.3879","-0.2959","-1.5683","14.4371","18.4719","18.9867","3.8100","4646.6665","0.6207"
"0.300","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.4077","-0.2692","-1.5111","14.0273","19.6523","23.0781","3.8100","4229.2002","0.7449"
"0.350","8.9383","4","0.0000","0.0000","0.0086","-13.0358","0.0000","416.1808","200.0000","10000.0000","10000.0000","41.56635382","44.95082457","13.6953","-0.4454","-0.2205","-1.4053","12.7758","19.9117","26.3375","3.8100","4027.3704","0.8690"
