"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","1:04 PM"
"Sample Rate","20"
"Duration","840.987"
"Segment","Session"
"Beacon Markers","81.664","145.572","207.123","267.327","326.935","385.842","444.939","504.416","564.021","622.906","682.818","742.315","814.01","840.987"
"Segment Times","1:21.664","1:03.908","1:01.551","1:00.204","0:59.608","0:58.907","0:59.097","0:59.477","0:59.605","0:58.885","0:59.912","0:59.497","1:11.695","0:26.977"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","mG","mG","mG","V","rpm","#","m"

"0.000","0.0360","15","0.0000","0.0000","31.9723","56.3892","0.0000","410.2203","5.9000","0.1300","10000.0000","41.56636748","44.94946051","-0.5894","0.0133","-0.8027","0.7212","-1.4551","-0.4993","-201.8750","315.7500","248.5000","3.9710","0.0000","0.0000","0.0000"
"0.050","0.0360","15","0.0000","0.0000","31.9723","56.3892","0.0000","410.2203","5.9000","0.1300","10000.0000","41.56636748","44.94946051","-0.5884","0.0138","-0.8042","0.6873","-1.4423","-0.4711","-199.7875","317.3375","247.6500","3.9710","0.0000","0.0000","0.0005"
"0.100","0.0360","15","0.0000","0.0000","31.9723","56.3892","0.0000","410.2203","5.9000","0.1300","10000.0000","41.56636748","44.94946051","-0.5889","0.0155","-0.8062","0.6830","-1.4614","-0.4864","-198.4000","318.2500","246.7625","3.9710","0.0000","0.0000","0.0010"
"0.150","0.0360","15","0.0000","0.0000","31.9723","56.3892","0.0000","410.2203","5.9000","0.1300","10000.0000","41.56636748","44.94946051","-0.5881","0.0150","-0.8047","0.6992","-1.4802","-0.5109","-197.9438","316.3000","246.5000","3.9710","0.0000","0.0000","0.0015"
"0.200","0.0360","15","0.0000","0.0000","31.9723","56.3892","0.0000","410.2203","5.9000","0.1300","10000.0000","41.56636748","44.94946051","-0.5889","0.0137","-0.8037","0.7216","-1.4807","-0.5055","-198.1125","315.9750","247.1000","3.9710","0.0000","0.0000","0.0020"
"0.250","0.0660","15","0.0000","0.0000","26.3190","13.4953","0.0000","410.2263","5.9000","0.1243","10000.0000","41.56636743","44.94946051","-0.5913","0.0133","-0.8035","0.7392","-1.4766","-0.4909","-199.4062","320.6500","249.3938","3.9710","0.0000","0.0000","0.0027"
"0.300","0.0451","15","0.0000","0.0000","30.1997","-49.7846","0.0000","410.2265","5.9000","0.1035","10000.0000","41.56636743","44.94946044","-0.5894","0.0138","-0.8037","0.7361","-1.4859","-0.4910","-200.2437","323.9625","250.7375","3.9710","0.0000","0.0000","0.0035"
"0.350","0.0882","15","0.0000","0.0000","3.1794","119.8173","0.0000","410.2255","5.9000","0.1000","10000.0000","41.56636742","44.94946043","-0.5896","0.0143","-0.8032","0.7197","-1.4912","-0.4834","-199.8875","323.1625","248.9812","3.9710","0.0000","0.0000","0.0045"
