"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","11:44 AM"
"Sample Rate","20"
"Duration","817.987"
"Segment","Session"
"Beacon Markers","74.796","138.395","199.499","259.205","319.262","378.506","437.769","497.971","557.413","616.334","676.201","735.433","800.672","817.987"
"Segment Times","1:14.796","1:03.599","1:01.104","0:59.706","1:00.057","0:59.244","0:59.263","1:00.202","0:59.442","0:58.921","0:59.867","0:59.232","1:05.239","0:17.315"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","mG","mG","mG","V","rpm","#","m"

"0.000","0.0360","16","0.0000","0.0000","31.9092","-56.4825","0.0000","409.8639","5.0000","0.0900","10000.0000","41.56634481","44.94941153","-0.5820","0.0198","-0.8071","0.7163","-1.3447","-0.5361","-243.0000","342.5000","215.5000","4.0090","0.0000","0.0000","0.0000"
"0.050","0.0360","16","0.0000","0.0000","31.9092","-56.4825","0.0000","409.8639","5.0000","0.0900","10000.0000","41.56634481","44.94941153","-0.5879","0.0214","-0.8052","0.7373","-1.3994","-0.4615","-248.9187","339.6875","215.2500","4.0090","0.0000","0.0000","0.0005"
"0.100","0.0360","16","0.0000","0.0000","31.9092","-56.4825","0.0000","409.8639","5.0000","0.0900","10000.0000","41.56634481","44.94941153","-0.5933","0.0224","-0.8003","0.8800","-1.3963","-0.4140","-254.0625","337.2875","215.1313","4.0090","0.0000","0.0000","0.0010"
"0.150","0.0360","16","0.0000","0.0000","31.9092","-56.4825","0.0000","409.8639","5.0000","0.0900","10000.0000","41.56634481","44.94941153","-0.5957","0.0216","-0.7986","0.9253","-1.4030","-0.4913","-252.4375","337.7250","213.8438","4.0090","0.0000","0.0000","0.0015"
"0.200","0.0952","16","0.0000","0.0000","25.5289","-11.7946","0.0000","409.8659","5.0000","0.0930","10000.0000","41.56634483","44.94941153","-0.5981","0.0211","-0.7974","0.9217","-1.4049","-0.5519","-250.1500","338.7375","212.8813","4.0090","0.0000","0.0000","0.0023"
"0.250","0.1493","16","0.0000","0.0000","32.4997","86.8811","0.0000","409.8705","5.0000","0.1000","10000.0000","41.56634488","44.94941153","-0.5959","0.0212","-0.7979","0.9487","-1.3782","-0.5489","-251.5188","338.2750","214.3375","4.0090","0.0000","0.0000","0.0043"
"0.300","0.1025","16","0.0000","0.0000","43.3304","160.4605","0.0000","409.8748","5.0000","0.1080","10000.0000","41.56634484","44.94941159","-0.5923","0.0206","-0.7993","0.8851","-1.3991","-0.5286","-252.7437","337.2750","216.0875","4.0090","0.0000","0.0000","0.0060"
"0.350","0.1093","16","0.0000","0.0000","14.8324","-132.7388","0.0000","409.8636","5.0000","0.1100","10000.0000","41.56634481","44.94941153","-0.5881","0.0207","-0.8037","0.8386","-1.3768","-0.5191","-249.9500","335.9125","219.0625","4.0090","0.0000","0.0000","0.0075"
