"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","10:16 AM"
"Sample Rate","20"
"Duration","710.989"
"Segment","Session"
"Beacon Markers","71.831","134.141","195.639","257.131","317.323","377.443","436.893","496.312","555.946","615.233","686.116","710.989"
"Segment Times","1:11.831","1:02.310","1:01.498","1:01.492","1:00.192","1:00.120","0:59.450","0:59.419","0:59.634","0:59.287","1:10.883","0:24.873"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","mG","mG","mG","V","rpm","#","m"

"0.000","0.0509","14","0.0000","0.0000","5.4365","-149.8798","0.0000","418.5976","3.9000","0.1100","10000.0000","41.56628735","44.95078328","-0.5815","0.0046","-0.8057","0.8965","-1.1748","-0.5625","-576.5000","352.2500","135.1250","4.0160","0.0000","0.0000","0.0000"
"0.050","0.0509","14","0.0000","0.0000","5.4365","-149.8798","0.0000","418.5976","3.9000","0.1100","10000.0000","41.56628735","44.95078328","-0.5840","0.0052","-0.8035","0.8629","-1.1991","-0.5525","-577.0000","353.4750","131.1187","4.0160","0.0000","0.0000","0.0007"
"0.100","0.0509","14","0.0000","0.0000","-2.7468","-60.1058","0.0000","418.5976","3.9000","0.1325","10000.0000","41.56628735","44.95078328","-0.5811","0.0070","-0.8091","0.8745","-1.1264","-0.5812","-577.0000","354.9625","129.5188","4.0160","0.0000","0.0000","0.0014"
"0.150","0.0509","14","0.0000","0.0000","0.0378","89.9664","0.0000","418.5976","3.9000","0.1300","10000.0000","41.56628735","44.95078328","-0.5754","0.0071","-0.8103","0.8831","-1.1597","-0.6084","-577.0000","356.1125","129.6562","4.0160","0.0000","0.0000","0.0021"
"0.200","0.0555","14","0.0000","0.0000","28.1709","-53.5073","0.0000","418.6029","3.9000","0.1400","10000.0000","41.56628743","44.95078326","-0.5762","0.0065","-0.8120","0.9003","-1.2161","-0.5866","-577.0000","355.5250","133.5188","4.0160","0.0000","0.0000","0.0028"
"0.250","0.1010","14","0.0000","0.0000","19.5482","-31.3952","0.0000","418.6075","3.9000","0.1350","10000.0000","41.56628746","44.95078319","-0.5798","0.0075","-0.8105","0.8609","-1.1973","-0.5296","-577.0000","354.2750","138.0750","4.0160","0.0000","0.0000","0.0040"
"0.300","0.1116","15","0.0000","0.0000","25.0038","-25.8258","0.0000","418.6211","3.9000","0.1375","10000.0000","41.56628750","44.95078319","-0.5879","0.0101","-0.8086","0.8318","-1.1735","-0.5403","-577.0000","352.3000","137.5500","4.0160","0.0000","0.0000","0.0055"
"0.350","0.2415","15","0.0000","0.0000","10.1396","-40.0202","0.0000","418.6228","3.9000","0.1400","10000.0000","41.56628751","44.95078319","-0.5950","-0.0049","-0.8196","0.9560","-1.1946","-0.6204","-577.5000","349.5250","134.1187","4.0160","1.0000","0.0000","0.0077"
