"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax1"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 11, 2025"
"Time","5:26 PM"
"Sample Rate","20"
"Duration","1219.98"
"Segment","Session"
"Beacon Markers","90.874","159.453","225.295","288.7","364.063","428.526","491.521","557.43","620.811","688.784","761.236","823.594","886.154","953.838","1017.03","1079.44","1142.24","1204.89","1219.98"
"Segment Times","1:30.874","1:08.579","1:05.842","1:03.405","1:15.363","1:04.463","1:02.995","1:05.909","1:03.381","1:07.973","1:12.452","1:02.358","1:02.560","1:07.684","1:03.188","1:02.415","1:02.801","1:02.644","0:15.096"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3203","0.0884","0.2629","12.7031","19.6250","18.3906","4.0160","0.0000","0.0000"
"0.050","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3203","0.0884","0.2629","12.7031","19.6250","18.3906","4.0160","0.0000","0.1504"
"0.100","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3203","0.0884","0.2629","12.7031","19.6250","18.3906","4.0160","555.0000","0.3008"
"0.150","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3203","0.0884","0.2629","12.7031","19.6250","18.3906","4.0160","1732.0000","0.4512"
"0.200","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3202","0.0884","0.2629","12.6961","19.6250","18.3977","4.0160","1668.0000","0.6016"
"0.250","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3196","0.0888","0.2627","12.3336","19.5953","18.8875","4.0160","1556.0000","0.7520"
"0.300","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3154","0.0900","0.2595","10.8113","19.3672","21.0516","4.0160","1548.0000","0.9023"
"0.350","10.8282","13","0.0000","0.0000","-1.0622","55.1104","0.0000","400.6215","200.0000","0.1900","10000.0000","41.56628491","44.95074169","18.5938","-0.3057","0.0916","0.2507","8.3887","18.7500","24.1703","4.0160","1579.0000","1.0527"
