"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax1"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 11, 2025"
"Time","5:02 PM"
"Sample Rate","20"
"Duration","649.991"
"Segment","Session"
"Beacon Markers","114.006","183.886","251.975","317.651","381.678","444.994","507.514","570.566","636.337","649.991"
"Segment Times","1:54.006","1:09.880","1:08.089","1:05.676","1:04.027","1:03.316","1:02.520","1:03.052","1:05.771","0:13.654"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2971","0.0754","0.2578","12.6094","19.6250","18.1875","4.0640","0.0000","0.0000"
"0.050","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2971","0.0754","0.2578","12.6094","19.6250","18.1875","4.0640","503.0000","0.1171"
"0.100","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2971","0.0754","0.2578","12.6094","19.6250","18.1875","4.0640","2041.0000","0.2342"
"0.150","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2971","0.0754","0.2578","12.6094","19.6250","18.1875","4.0640","1981.0000","0.3513"
"0.200","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2971","0.0754","0.2578","12.5988","19.6250","18.1945","4.0640","3504.0000","0.4684"
"0.250","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2964","0.0754","0.2576","12.2320","19.5953","18.6852","4.0640","1971.0000","0.5855"
"0.300","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2921","0.0752","0.2544","10.7098","19.3898","20.8641","4.0640","1997.0000","0.7026"
"0.350","8.4309","9","0.0000","0.0000","2.5147","57.4501","0.0000","394.6629","200.0000","0.1900","10000.0000","41.56623513","44.95071184","18.7969","-0.2820","0.0742","0.2456","8.3168","18.7961","24.0133","4.0640","2266.8999","0.8197"
