"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax1"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 11, 2025"
"Time","4:19 PM"
"Sample Rate","20"
"Duration","1017.99"
"Segment","Session"
"Beacon Markers","106.911","180.84","248.739","315.457","381.265","446.774","514.314","580.835","647.099","711.313","777.139","852.77","936.004","1004.23","1017.99"
"Segment Times","1:46.911","1:13.929","1:07.899","1:06.718","1:05.808","1:05.509","1:07.540","1:06.521","1:06.264","1:04.214","1:05.826","1:15.631","1:23.234","1:08.222","0:13.760"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0906","-0.3025","-0.2969","12.7031","20.3281","17.1875","4.0920","0.0000","0.0000"
"0.050","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0906","-0.3025","-0.2969","12.7031","20.3281","17.1875","4.0920","1272.0000","0.1712"
"0.100","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0906","-0.3025","-0.2969","12.7031","20.3281","17.1875","4.0920","1490.0000","0.3424"
"0.150","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0906","-0.3025","-0.2969","12.7031","20.3281","17.1875","4.0920","1497.0000","0.5137"
"0.200","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0906","-0.3024","-0.2969","12.6926","20.3281","17.2016","4.0920","1422.0000","0.6849"
"0.250","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0896","-0.3006","-0.2955","12.1598","20.3281","17.9117","4.0920","1451.0000","0.8561"
"0.300","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0834","-0.2902","-0.2860","10.0727","20.2008","20.7828","4.0920","1794.0000","1.0273"
"0.350","12.3276","3","0.0000","0.0000","0.0490","23.5822","0.0000","403.8502","200.0000","13.0100","10000.0000","41.56635925","44.95115151","26.5938","0.0694","-0.2676","-0.2630","6.7668","19.7008","24.9000","4.0920","1571.5000","1.1985"
