"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 18, 2025"
"Time","4:28 PM"
"Sample Rate","20"
"Duration","763.989"
"Segment","Session"
"Beacon Markers","97.741","166.249","236.948","301.659","365.33","431.539","493.392","555.854","629.176","691.68","753.374","763.989"
"Segment Times","1:37.741","1:08.508","1:10.699","1:04.711","1:03.671","1:06.209","1:01.853","1:02.462","1:13.322","1:02.504","1:01.694","0:10.615"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3691","-0.3774","0.2778","12.9062","20.8281","17.3906","3.9260","0.0000","0.0000"
"0.050","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3691","-0.3774","0.2778","12.9062","20.8281","17.3906","3.9260","3086.0000","0.1394"
"0.100","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3691","-0.3774","0.2778","12.9062","20.8281","17.3906","3.9260","3161.3999","0.2788"
"0.150","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3691","-0.3774","0.2778","12.9062","20.8281","17.3906","3.9260","3118.0000","0.4183"
"0.200","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3691","-0.3774","0.2778","12.8922","20.8211","17.3977","3.9260","3022.7000","0.5577"
"0.250","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3656","-0.3760","0.2764","12.3703","20.6320","17.9328","3.9260","3312.3000","0.6971"
"0.300","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3458","-0.3662","0.2701","10.3055","19.9039","20.2273","3.9260","3161.3999","0.8365"
"0.350","10.0381","11","0.0000","0.0000","0.5410","54.4621","0.0000","402.5459","175.7000","0.1900","10000.0000","41.56626630","44.95077935","24.0000","-0.3082","-0.3417","0.2578","7.1041","18.5922","23.5867","3.9260","3037.0000","0.9759"
