"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 18, 2025"
"Time","4:57 PM"
"Sample Rate","20"
"Duration","349.995"
"Segment","Session"
"Beacon Markers","85.574","150.67","215.303","277.924","339.216","349.995"
"Segment Times","1:25.574","1:05.096","1:04.633","1:02.621","1:01.292","0:10.779"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","0.1018","18","0.0000","0.0000","5.4366","30.1202","0.0000","409.7567","14.4000","0.1600","10000.0000","41.56625361","44.95076170","19.3906","-0.1356","0.0400","0.0930","0.5874","4.7773","8.4609","3.8700","0.0000","0.0000"
"0.050","0.0965","18","0.0000","0.0000","6.6123","57.5851","0.0000","409.7553","14.4000","0.1650","10000.0000","41.56625362","44.95076172","19.3906","-0.1362","0.0401","0.0928","0.5635","4.7793","8.4141","3.8700","0.0000","0.0014"
"0.100","0.0858","18","0.0000","0.0000","8.9639","112.5149","0.0000","409.7527","14.4000","0.1750","10000.0000","41.56625364","44.95076177","19.3906","-0.1371","0.0404","0.0927","0.5269","4.7969","8.3047","3.8700","0.0000","0.0026"
"0.150","0.1026","18","0.0000","0.0000","11.7222","87.3343","0.0000","409.7514","14.4000","0.1775","10000.0000","41.56625365","44.95076175","19.3906","-0.1380","0.0406","0.0927","0.4971","4.8262","8.1875","3.8700","0.0000","0.0039"
"0.200","0.1468","18","0.0000","0.0000","14.8874","-17.9568","0.0000","409.7514","14.4000","0.1725","10000.0000","41.56625365","44.95076166","19.3906","-0.1388","0.0408","0.0929","0.4724","4.8555","8.0703","3.8700","0.0000","0.0056"
"0.250","0.1356","18","0.0000","0.0000","20.3298","-22.0724","0.0000","409.7501","14.4000","0.1725","10000.0000","41.56625366","44.95076164","19.3906","-0.1394","0.0411","0.0931","0.4512","4.8984","7.9609","3.8700","0.0000","0.0076"
"0.300","0.0692","18","0.0000","0.0000","28.0494","74.9876","0.0000","409.7474","14.4000","0.1775","10000.0000","41.56625369","44.95076168","19.3821","-0.1398","0.0413","0.0932","0.4437","4.9297","7.8906","3.8701","0.0000","0.0090"
"0.350","0.1023","18","0.0000","0.0000","23.5031","90.1955","0.0000","409.7421","14.4000","0.1850","10000.0000","41.56625373","44.95076168","19.3721","-0.1400","0.0414","0.0934","0.4453","4.9648","7.8359","3.8702","0.0000","0.0101"
