"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 18, 2025"
"Time","5:35 PM"
"Sample Rate","20"
"Duration","392.994"
"Segment","Session"
"Beacon Markers","59.122","126.261","190.442","252.875","315.07","378.417","392.994"
"Segment Times","0:59.122","1:07.139","1:04.181","1:02.433","1:02.195","1:03.347","0:14.577"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","0.1569","23","0.0000","0.0000","1.6399","161.0254","0.0000","406.8630","15.7000","0.1600","10000.0000","41.56695985","44.94850645","16.5000","-0.1425","0.0505","0.0974","0.5522","5.3438","7.6758","3.8100","0.0000","0.0000"
"0.050","0.1569","23","0.0000","0.0000","1.6399","161.0254","0.0000","406.8630","15.7000","0.1600","10000.0000","41.56695985","44.94850645","16.5000","-0.1426","0.0504","0.0976","0.5764","5.3438","7.6855","3.8100","0.0000","0.0022"
"0.100","0.1569","23","0.0000","0.0000","1.6399","161.0254","0.0000","406.8630","15.7000","0.1600","10000.0000","41.56695985","44.94850645","16.5000","-0.1425","0.0504","0.0975","0.5820","5.3438","7.6953","3.8100","0.0000","0.0044"
"0.150","0.1569","23","0.0000","0.0000","1.6399","161.0254","0.0000","406.8630","15.7000","0.1600","10000.0000","41.56695985","44.94850645","16.5000","-0.1423","0.0505","0.0973","0.5740","5.3398","7.6973","3.8100","0.0000","0.0066"
"0.200","0.1913","23","0.0000","0.0000","3.0329","107.0293","0.0000","406.8684","15.7000","0.1555","10000.0000","41.56695986","44.94850649","16.5000","-0.1420","0.0503","0.0972","0.5056","5.3398","7.6875","3.8100","0.0000","0.0090"
"0.250","0.2295","23","0.0000","0.0000","4.5806","47.0337","0.0000","406.8744","15.7000","0.1505","10000.0000","41.56695987","44.94850653","16.5000","-0.1423","0.0501","0.0976","0.3491","5.3398","7.6602","3.8100","0.0000","0.0118"
"0.300","0.1795","23","0.0000","0.0000","14.9955","15.9901","0.0000","406.8803","15.7000","0.1500","10000.0000","41.56695988","44.94850657","16.5000","-0.1435","0.0503","0.0984","0.1339","5.3359","7.6191","3.8100","0.0000","0.0146"
"0.350","0.1198","23","0.0000","0.0000","26.3955","-11.8366","0.0000","406.8863","15.7000","0.1500","10000.0000","41.56695990","44.94850661","16.5000","-0.1450","0.0509","0.0992","-0.0558","5.3281","7.5820","3.8100","0.0000","0.0167"
