"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Tuesday, November 18, 2025"
"Time","5:27 PM"
"Sample Rate","20"
"Duration","317.996"
"Segment","Session"
"Beacon Markers","83.286","150.567","212.662","273.901","317.996"
"Segment Times","1:23.286","1:07.281","1:02.095","1:01.239","0:44.095"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","0.3564","21","0.0000","0.0000","6.2433","-8.2919","0.0000","404.0858","16.9000","0.2300","10000.0000","41.56625292","44.95074445","18.6875","-0.1353","0.0233","0.0915","0.6084","5.4180","7.8125","3.8220","0.0000","0.0000"
"0.050","0.3106","21","0.0000","0.0000","13.9349","-17.3199","0.0000","404.0866","16.8850","0.2150","10000.0000","41.56625291","44.95074444","18.6875","-0.1353","0.0233","0.0915","0.6106","5.4180","7.8066","3.8220","0.0000","0.0047"
"0.100","0.1578","21","0.0000","0.0000","39.5734","-47.4130","0.0000","404.0893","16.8350","0.1650","10000.0000","41.56625289","44.95074440","18.6875","-0.1354","0.0233","0.0915","0.6030","5.4180","7.7969","3.8220","0.0000","0.0079"
"0.150","0.0743","21","0.0000","0.0000","50.5014","-64.0279","0.0000","404.0905","16.8000","0.1420","10000.0000","41.56625290","44.95074434","18.6910","-0.1356","0.0233","0.0915","0.5872","5.4180","7.7871","3.8221","0.0000","0.0095"
"0.200","0.1522","21","0.0000","0.0000","27.1045","-49.1936","0.0000","404.0885","16.8000","0.1820","10000.0000","41.56625298","44.95074426","18.6964","-0.1357","0.0232","0.0915","0.5627","5.4180","7.7734","3.8222","0.0000","0.0111"
"0.250","0.1812","20","0.0000","0.0000","15.3527","-32.9882","0.0000","404.0882","16.8000","0.2040","10000.0000","41.56625304","44.95074420","18.7018","-0.1359","0.0231","0.0915","0.5420","5.4180","7.7656","3.8223","0.0000","0.0135"
"0.300","0.0958","20","0.0000","0.0000","30.7730","-13.5834","0.0000","404.0915","16.8000","0.1840","10000.0000","41.56625307","44.95074420","18.7071","-0.1359","0.0230","0.0915","0.5244","5.4180","7.7598","3.8224","0.0000","0.0154"
"0.350","0.0414","20","0.0000","0.0000","40.1279","-18.5416","0.0000","404.0948","16.8000","0.1655","10000.0000","41.56625311","44.95074420","18.7125","-0.1359","0.0230","0.0914","0.5122","5.4180","7.7578","3.8225","0.0000","0.0164"
