"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax"
"Racer","KharitonovIvan"
"Championship",""
"Comment",""
"Date","Saturday, November 22, 2025"
"Time","11:32 AM"
"Sample Rate","20"
"Duration","254.996"
"Segment","Session"
"Beacon Markers","18.788","89.061","149.805","211.161","254.996"
"Segment Times","0:18.788","1:10.273","1:00.744","1:01.356","0:43.835"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","g","g","g","deg/s","deg/s","deg/s","V","rpm","m"

"0.000","0.0509","18","0.0000","0.0000","-5.4746","149.8189","0.0000","416.4756","18.7000","0.1600","10000.0000","41.56702642","44.94847943","16.6875","-0.1616","0.0787","0.1105","0.9380","5.1328","8.0156","3.9380","0.0000","0.0000"
"0.050","0.0509","18","0.0000","0.0000","-5.4746","149.8189","0.0000","416.4756","18.7000","0.1600","10000.0000","41.56702642","44.94847943","16.6875","-0.1614","0.0787","0.1099","0.9995","5.1328","8.0195","3.9380","0.0000","0.0007"
"0.100","0.0509","18","0.0000","0.0000","-5.4746","149.8189","0.0000","416.4756","18.7000","0.1600","10000.0000","41.56702642","44.94847943","16.6875","-0.1613","0.0786","0.1093","1.0156","5.0938","7.9961","3.9380","0.0000","0.0014"
"0.150","0.0503","18","0.0000","0.0000","-6.9183","151.0262","0.0000","416.4758","18.6960","0.1612","10000.0000","41.56702642","44.94847943","16.6875","-0.1610","0.0784","0.1090","0.9958","5.0352","7.9551","3.9380","0.0000","0.0021"
"0.200","0.0429","18","0.0000","0.0000","-24.9646","166.1167","0.0000","416.4785","18.6460","0.1762","10000.0000","41.56702639","44.94847939","16.6875","-0.1610","0.0781","0.1088","0.9482","4.9668","7.8984","3.9380","0.0000","0.0028"
"0.250","0.0381","18","0.0000","0.0000","-41.2155","167.3347","0.0000","416.4811","18.5960","0.1892","10000.0000","41.56702637","44.94847934","16.6875","-0.1611","0.0778","0.1086","0.8979","4.9141","7.8555","3.9380","0.0000","0.0033"
"0.300","0.0642","18","0.0000","0.0000","-36.8201","9.0185","0.0000","416.4837","18.5460","0.1792","10000.0000","41.56702635","44.94847930","16.6875","-0.1610","0.0776","0.1088","0.8430","4.8672","7.8164","3.9380","0.0000","0.0041"
"0.350","0.0847","18","0.0000","0.0000","-31.4653","-131.1672","0.0000","416.4862","18.4960","0.1712","10000.0000","41.56702633","44.94847926","16.6875","-0.1608","0.0776","0.1090","0.7915","4.8320","7.7812","3.9380","0.0000","0.0050"
