Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13404,988,0,0,912,1056,12794,0,41566103.14837263,44949774.78863802,4060
1,12575,969,0,0,905,1063,12794,0,41566110,44949766,4060
1,12295,945,0,0,902,1061,12661,0,41566095,44949793,4060
1,12177,924,0,0,898,1052,12522,0,41566081,44949819,4060
1,12004,903,0,0,893,1042,12371,0,41566068,44949844,4060
1,11718,885,0,0,880,1034,12207,0,41566056,44949871,4060
1,11265,873,0,0,882,1035,12017,0,41566045,44949898,4060
1,11057,862,0,0,866,1036,11784,0,41566035,44949924,4060
1,11297,847,0,0,868,1034,11580,0,41566026,44949951,4050
1,11485,835,0,0,862,1020,11350,0,41566018,44949978,4050
1,11545,824,0,0,882,1020,11103,0,41566011,44950005,4050
1,11293,818,0,0,887,1015,10721,0,41566008,44950031,4050
1,11076,813,0,0,883,1017,10477,0,41566003,44950058,4050
1,11310,804,0,0,874,1033,10055,0,41566001,44950085,4050
1,11829,800,0,0,866,1031,9811,0,41565998,44950113,4050
1,11985,784,0,0,849,1029,9466,0,41565998,44950140,4050
1,11173,768,0,0,826,1006,9292,0,41565998,44950166,4050
1,11263,766,0,0,843,1010,9099,0,41565998,44950193,4050
1,11200,764,0,0,844,1002,8558,0,41566001,44950218,4040
1,11158,759,0,0,856,989,8165,0,41566005,44950243,4040
1,11111,759,0,0,852,984,7662,0,41566011,44950270,4040
1,11144,768,0,0,866,981,7239,0,41566018,44950293,4040
1,11179,773,0,0,880,983,6698,0,41566026,44950316,4040
1,11106,777,0,0,906,969,6385,0,41566036,44950340,4040
1,11045,787,0,0,929,972,6016,0,41566046,44950361,4040
1,11001,798,0,0,966,975,5679,0,41566058,44950383,4040
1,11096,809,0,0,993,979,5226,0,41566071,44950403,4030
1,11194,816,0,0,1005,980,4907,0,41566086,44950423,4030
1,11301,823,0,0,1011,979,4804,0,41566100,44950443,4030
1,11389,831,0,0,1021,982,4785,0,41566115,44950463,4030
1,11485,838,0,0,1019,982,4771,0,41566128,44950483,4030
1,11600,845,0,0,1026,987,4797,0,41566141,44950503,4030
1,11723,851,0,0,1026,986,4828,0,41566156,44950525,4030
1,11985,855,0,0,1029,986,4864,0,41566170,44950546,4030
1,11843,859,0,0,1028,981,4915,0,41566183,44950568,4030
1,11838,866,0,0,1034,982,5023,0,41566198,44950590,4030
1,11897,873,0,0,1033,986,5027,0,41566211,44950611,4020
1,11973,879,0,0,1036,985,5123,0,41566225,44950635,4020
1,12038,883,0,0,1036,984,5157,0,41566238,44950658,4020
1,12133,889,0,0,1035,982,5243,0,41566251,44950681,4020
1,12200,896,0,0,1033,984,5333,0,41566265,44950705,4020
1,12269,902,0,0,1026,984,5392,0,41566278,44950728,4020
1,12338,908,0,0,1018,990,5479,0,41566290,44950753,4020
1,12396,914,0,0,1001,1004,5541,0,41566303,44950778,4020
1,12440,916,0,0,982,1031,5619,0,41566315,44950803,4020
1,12200,911,0,0,962,1050,5699,0,41566328,44950830,4020
1,11529,894,0,0,939,1062,5733,0,41566340,44950855,4020
1,11015,871,0,0,917,1063,5747,0,41566353,44950881,4010
1,10335,849,0,0,905,1064,5729,0,41566365,44950906,4010
1,10062,826,0,0,892,1059,5632,0,41566376,44950930,4010
1,9671,804,0,0,884,1061,5515,0,41566388,44950953,4010
1,9641,784,0,0,880,1057,5319,0,41566401,44950975,4010
1,9426,762,0,0,882,1061,5055,0,41566415,44950995,4010
1,9511,740,0,0,882,1056,4756,0,41566428,44951015,4010
1,9342,721,0,0,882,1060,4467,0,41566441,44951031,4010
1,9302,699,0,0,888,1053,4124,0,41566456,44951048,4010
1,9153,678,0,0,888,1051,3753,0,41566470,44951061,4010
1,8988,660,0,0,881,1042,3335,0,41566485,44951073,4010
1,8739,643,0,0,875,1028,2969,0,41566501,44951083,4010
1,8940,628,0,0,875,1018,2575,0,41566516,44951091,4010
1,8984,625,0,0,870,1008,2131,0,41566531,44951098,4010
1,8956,623,0,0,872,999,1750,0,41566546,44951103,4010
1,8900,619,0,0,862,993,1214,0,41566561,44951106,4010
1,8902,623,0,0,866,987,634,0,41566578,44951108,4010
1,8937,627,0,0,870,1001,46,0,41566593,44951106,4010
1,8959,629,0,0,868,1000,35554,0,41566610,44951103,4010
1,8973,629,0,0,863,1008,35061,0,41566625,44951098,4010
1,8973,625,0,0,876,1007,34573,0,41566640,44951091,4010
1,9073,624,0,0,873,1009,33800,0,41566653,44951081,4010
1,9073,620,0,0,863,1010,33314,0,41566666,44951071,4010
1,9011,615,0,0,866,1007,32915,0,41566679,44951060,4010
1,8960,612,0,0,871,1006,32372,0,41566691,44951045,4010
1,8933,610,0,0,874,1007,31756,0,41566701,44951030,4010
1,8832,608,0,0,876,1010,31215,0,41566711,44951013,4010
1,8824,605,0,0,881,1009,30635,0,41566719,44950996,4010
1,8780,600,0,0,883,1009,29986,0,41566726,44950978,4010
1,8814,597,0,0,878,1004,29482,0,41566732,44950958,4010
1,8870,595,0,0,879,1002,28961,0,41566736,44950938,4010
1,8935,593,0,0,884,1001,28447,0,41566739,44950918,4010
1,9007,594,0,0,882,1002,27879,0,41566741,44950898,4010
1,8940,593,0,0,886,1016,27318,0,41566739,44950878,4010
1,8800,591,0,0,890,1005,26840,0,41566739,44950858,4010
1,8626,583,0,0,879,1010,26199,0,41566736,44950838,4010
1,8640,582,0,0,888,996,25698,0,41566731,44950818,4010
1,8689,584,0,0,893,1002,25231,0,41566726,44950800,4020
1,8701,582,0,0,895,996,24595,0,41566719,44950781,4020
1,8689,584,0,0,903,994,24186,0,41566711,44950765,4020
1,8747,585,0,0,929,987,23614,0,41566702,44950748,4020
1,8509,587,0,0,935,978,22828,0,41566691,44950735,4020
1,8413,594,0,0,955,973,22579,0,41566681,44950721,4020
1,8440,603,0,0,968,972,22072,0,41566669,44950708,4020
1,8531,613,0,0,984,973,21721,0,41566656,44950696,4020
1,8613,623,0,0,993,976,21356,0,41566643,44950686,4020
1,8723,633,0,0,998,980,21200,0,41566630,44950676,4020
1,8813,640,0,0,1001,980,21104,0,41566616,44950666,4020
1,8920,647,0,0,1004,981,21082,0,41566603,44950655,4020
1,9023,655,0,0,1007,979,21031,0,41566590,44950645,4020
1,9118,661,0,0,1009,980,21029,0,41566575,44950635,4020
1,9233,668,0,0,1013,977,21064,0,41566561,44950623,4020
1,9322,676,0,0,1019,977,21083,0,41566546,44950611,4020
1,9417,684,0,0,1027,977,21114,0,41566533,44950600,4030
1,9517,693,0,0,1034,978,21114,0,41566518,44950588,4030
1,9623,701,0,0,1040,981,21163,0,41566503,44950576,4030
1,9719,709,0,0,1047,981,21234,0,41566488,44950565,4030
1,9829,716,0,0,1049,982,21315,0,41566473,44950551,4030
1,9909,722,0,0,1056,982,21449,0,41566460,44950538,4030
1,10005,729,0,0,1065,983,21571,0,41566445,44950523,4030
1,10099,736,0,0,1071,985,21723,0,41566431,44950508,4030
1,10193,742,0,0,1076,985,21883,0,41566416,44950493,4030
1,10291,747,0,0,1091,982,22059,0,41566403,44950476,4030
1,10359,752,0,0,1100,981,22210,0,41566390,44950460,4030
1,10447,759,0,0,1103,983,22424,0,41566376,44950443,4030
1,10526,766,0,0,1114,989,22700,0,41566363,44950423,4030
1,10619,771,0,0,1113,989,22927,0,41566351,44950405,4030
1,10708,774,0,0,1120,990,23161,0,41566340,44950385,4030
1,10750,778,0,0,1113,989,23507,0,41566330,44950363,4030
1,10836,782,0,0,1113,989,23823,0,41566320,44950341,4040
1,10859,786,0,0,1109,988,24131,0,41566311,44950318,4040
1,10826,790,0,0,1128,988,24482,0,41566303,44950295,4040
1,10889,795,0,0,1126,991,24689,0,41566296,44950270,4040
1,10960,799,0,0,1139,996,25111,0,41566290,44950245,4040
1,11047,802,0,0,1144,996,25322,0,41566285,44950220,4040
1,11102,802,0,0,1149,993,25619,0,41566280,44950195,4040
1,11150,803,0,0,1143,993,25905,0,41566276,44950168,4040
1,11148,807,0,0,1136,992,26338,0,41566275,44950141,4040
1,11177,809,0,0,1134,995,26714,0,41566275,44950115,4040
1,11280,810,0,0,1137,993,27083,0,41566276,44950088,4040
1,11383,814,0,0,1134,993,27433,0,41566278,44950061,4040
1,11472,815,0,0,1136,994,27778,0,41566281,44950035,4040
1,11350,818,0,0,1136,990,28132,0,41566285,44950010,4040
1,11261,821,0,0,1126,998,28407,0,41566291,44949983,4040
1,11171,823,0,0,1114,996,28743,0,41566298,44949958,4040
1,11117,824,0,0,1105,995,29114,0,41566305,44949933,4040
1,11160,824,0,0,1086,992,29418,0,41566315,44949908,4050
1,11238,828,0,0,1074,991,29783,0,41566325,44949884,4050
1,11288,831,0,0,1065,993,30049,0,41566336,44949863,4050
1,11314,833,0,0,1053,992,30262,0,41566346,44949839,4050
1,11365,837,0,0,1038,992,30482,0,41566360,44949818,4050
1,11424,840,0,0,1026,990,30675,0,41566373,44949796,4050
1,11478,842,0,0,1014,989,30813,0,41566386,44949774,4050
1,11536,847,0,0,1006,983,30932,0,41566400,44949753,4050
1,11596,851,0,0,1000,988,31035,0,41566413,44949733,4050
1,11650,857,0,0,999,990,31110,0,41566428,44949711,4050
1,11709,862,0,0,995,994,31120,0,41566441,44949689,4050
1,11753,863,0,0,996,991,31126,0,41566456,44949669,4050
1,11804,866,0,0,995,988,31105,0,41566470,44949648,4050
1,11857,871,0,0,995,991,31111,0,41566485,44949626,4050
1,11907,875,0,0,996,991,31120,0,41566498,44949604,4050
1,11945,878,0,0,998,993,31114,0,41566513,44949583,4050
1,11985,881,0,0,1000,991,31076,0,41566526,44949559,4050
1,12024,884,0,0,1001,991,31074,0,41566541,44949538,4060
1,12070,887,0,0,1001,990,31064,0,41566556,44949516,4060
1,12106,891,0,0,1003,993,31077,0,41566570,44949493,4060
1,12143,894,0,0,1006,992,31080,0,41566585,44949471,4060
1,12180,896,0,0,1004,1000,31061,0,41566600,44949448,4060
1,12219,898,0,0,1003,1020,31082,0,41566615,44949426,4060
1,12185,898,0,0,1005,1044,31087,0,41566630,44949403,4060
1,11695,882,0,0,1009,1067,31101,0,41566643,44949381,4060
1,10986,858,0,0,1015,1074,31117,0,41566658,44949358,4060
1,10186,833,0,0,1024,1075,31128,0,41566672,44949336,4060
1,9848,804,0,0,1037,1076,31133,0,41566687,44949314,4060
1,9566,779,0,0,1056,1066,31128,0,41566701,44949294,4060
1,9439,752,0,0,1070,1068,31163,0,41566714,44949274,4060
1,9202,728,0,0,1086,1064,31234,0,41566727,44949254,4060
1,8644,707,0,0,1102,1059,31341,0,41566741,44949238,4060
1,8602,681,0,0,1107,1054,31480,0,41566754,44949221,4060
1,8430,661,0,0,1112,1041,31680,0,41566767,44949204,4060
1,8496,646,0,0,1114,1030,32040,0,41566781,44949191,4060
1,8594,630,0,0,1113,1029,32396,0,41566794,44949179,4060
1,8625,625,0,0,1106,1030,32850,0,41566809,44949169,4060
1,8565,618,0,0,1115,1038,33356,0,41566824,44949161,4070
1,8375,602,0,0,1099,1032,33714,0,41566837,44949154,4070
1,8291,590,0,0,1095,1027,34254,0,41566854,44949149,4070
1,8289,580,0,0,1098,1029,34738,0,41566867,44949144,4070
