index,lat,lon,unk_u16,speed_raw
0,41.568132,44.948633,819,183
1,41.568151,44.948618,814,182
2,41.568166,44.948603,808,180
3,41.568182,44.948586,805,179
4,41.568197,44.948568,797,177
5,41.568211,44.948549,794,175
6,41.568224,44.948529,801,173
7,41.568236,44.948509,788,172
8,41.568247,44.948488,781,168
9,41.568256,44.948464,786,167
10,41.568264,44.948443,773,165
11,41.568271,44.948419,755,161
12,41.568274,44.948394,742,158
13,41.568276,44.948371,732,155
14,41.568277,44.948346,747,153
15,41.568277,44.948321,754,152
16,41.568277,44.948294,762,151
17,41.568276,44.948269,775,149
18,41.568274,44.948243,772,147
19,41.568271,44.948218,783,146
20,41.568266,44.948191,783,144
21,41.568259,44.948166,798,142
22,41.568254,44.948139,800,140
23,41.568246,44.948114,811,139
24,41.568237,44.948089,823,137
25,41.568229,44.948064,826,136
26,41.568219,44.948039,833,134
27,41.568207,44.948016,837,133
28,41.568196,44.947993,837,131
29,41.568182,44.947969,845,130
30,41.568169,44.947946,849,129
31,41.568156,44.947924,852,127
32,41.568141,44.947904,855,126
33,41.568124,44.947886,845,124
34,41.568107,44.947868,840,122
35,41.568089,44.947853,844,119
36,41.568072,44.947838,832,118
37,41.568052,44.947826,828,114
38,41.568032,44.947818,820,111
39,41.568012,44.947811,826,109
40,41.567992,44.947806,816,106
41,41.567971,44.947803,834,105
42,41.567949,44.947801,829,102
43,41.567927,44.947799,845,101
44,41.567906,44.947801,857,100
45,41.567884,44.947803,865,99
46,41.567862,44.947804,874,98
47,41.567841,44.947806,876,97
48,41.567819,44.947809,885,96
49,41.567796,44.947814,892,95
50,41.567774,44.947819,900,95
51,41.567752,44.947824,903,94
52,41.567729,44.947831,910,93
53,41.567707,44.947836,918,93
54,41.567684,44.947843,925,93
55,41.567662,44.947851,928,92
56,41.567639,44.947858,931,92
57,41.567616,44.947866,939,91
58,41.567594,44.947874,941,91
59,41.567571,44.947883,946,91
60,41.567547,44.947893,941,90
61,41.567526,44.947903,930,89
62,41.567506,44.947913,913,88
63,41.567484,44.947924,888,87
64,41.567464,44.947936,875,87
65,41.567446,44.947948,853,86
66,41.567427,44.947959,840,85
67,41.567409,44.947971,820,85
68,41.567391,44.947984,804,83
69,41.567376,44.947999,781,82
70,41.567359,44.948013,771,81
71,41.567344,44.948028,750,79
72,41.567331,44.948044,743,77
73,41.567317,44.948061,722,76
74,41.567306,44.948078,713,74
75,41.567294,44.948094,693,72
76,41.567284,44.948113,688,71
77,41.567276,44.948133,676,69
78,41.567267,44.948151,670,67
79,41.567261,44.948171,653,64
80,41.567256,44.948191,636,62
81,41.567251,44.948209,617,60
82,41.567249,44.948229,591,58
83,41.567247,44.948248,580,55
84,41.567247,44.948266,562,52
85,41.567247,44.948284,556,49
86,41.567251,44.948303,541,46
87,41.567254,44.948321,540,42
88,41.567259,44.948338,534,39
89,41.567266,44.948353,538,36
90,41.567272,44.948369,543,34
91,41.567281,44.948384,548,31
92,41.567289,44.948398,557,28
93,41.567301,44.948411,558,25
94,41.567312,44.948421,564,22
95,41.567324,44.948433,572,20
96,41.567337,44.948441,584,16
97,41.567351,44.948446,573,12
98,41.567366,44.948453,582,10
99,41.567381,44.948454,565,5
100,41.567396,44.948456,599,4
101,41.567411,44.948456,577,0
102,41.567426,44.948454,594,198
103,41.567441,44.948451,594,195
104,41.567456,44.948446,610,193
105,41.567471,44.948439,630,191
106,41.567486,44.948431,639,189
107,41.567501,44.948423,652,186
108,41.567516,44.948411,656,185
109,41.567531,44.948399,681,182
110,41.567544,44.948384,695,181
111,41.567557,44.948371,707,179
112,41.567572,44.948354,721,177
113,41.567586,44.948338,742,176
114,41.567599,44.948321,756,176
115,41.567614,44.948303,766,176
116,41.567627,44.948284,784,176
117,41.567642,44.948268,798,176
118,41.567659,44.948249,809,176
119,41.567674,44.948231,820,177
120,41.567689,44.948214,805,177
121,41.567704,44.948199,783,178
122,41.567719,44.948184,765,179
123,41.567736,44.948171,743,181
124,41.567751,44.948159,725,182
125,41.567766,44.948148,703,184
126,41.567781,44.948139,682,186
127,41.567797,44.948133,665,188
128,41.567812,44.948128,646,190
129,41.567827,44.948124,630,193
130,41.567842,44.948123,611,196
131,41.567857,44.948123,603,198
132,41.567871,44.948124,590,2
133,41.567886,44.948128,579,4
134,41.567899,44.948133,573,7
135,41.567912,44.948139,567,10
136,41.567924,44.948148,550,13
137,41.567936,44.948158,546,16
138,41.567946,44.948169,545,18
139,41.567954,44.948181,528,23
140,41.567961,44.948196,516,28
141,41.567967,44.948211,518,31
142,41.567972,44.948229,529,37
143,41.567976,44.948246,528,40
144,41.567977,44.948264,537,44
145,41.567977,44.948283,546,47
146,41.567977,44.948301,548,50
147,41.567974,44.948319,556,54
148,41.567971,44.948338,566,56
149,41.567967,44.948356,578,58
150,41.567961,44.948373,581,61
151,41.567954,44.948391,588,64
152,41.567946,44.948406,587,67
153,41.567936,44.948423,600,70
154,41.567926,44.948438,607,72
155,41.567914,44.948451,615,75
156,41.567901,44.948464,628,78
157,41.567887,44.948476,642,80
158,41.567872,44.948488,647,82
159,41.567857,44.948496,661,85
160,41.567842,44.948506,680,86
161,41.567826,44.948514,695,86
162,41.567809,44.948524,711,86
163,41.567794,44.948536,724,86
164,41.567776,44.948546,739,86
165,41.567759,44.948556,755,86
166,41.567741,44.948568,764,86
167,41.567724,44.948578,780,86
168,41.567706,44.948589,792,85
169,41.567687,44.948601,804,85
170,41.567669,44.948613,817,85
