index,lat,lon,unk_u16,speed_raw
0,41.566285,44.949442,800,100
1,41.566273,44.949462,800,100
2,41.566261,44.949481,800,100
3,41.566249,44.9495,800,100
4,41.566237,44.94952,800,100
5,41.566225,44.949539,800,100
6,41.566213,44.949559,800,100
7,41.566201,44.949579,800,100
8,41.566189,44.949598,800,100
9,41.566178,44.949618,800,100
10,41.566166,44.949638,800,100
11,41.566154,44.949658,800,100
12,41.566143,44.949678,800,100
13,41.566131,44.949698,800,100
14,41.566119,44.949717,800,100
15,41.566108,44.949737,800,100
16,41.566096,44.949757,800,100
17,41.566085,44.949777,800,100
18,41.566073,44.949798,800,100
19,41.566062,44.949818,800,100
20,41.566052,44.949839,800,100
21,41.566042,44.94986,800,100
22,41.566032,44.949882,800,100
23,41.566024,44.949904,800,100
24,41.566016,44.949927,800,100
25,41.566009,44.949951,800,100
26,41.566003,44.949975,800,100
27,41.565998,44.949999,800,100
28,41.565994,44.950024,800,100
29,41.565991,44.950049,800,100
30,41.565989,44.950074,800,100
31,41.565988,44.950099,800,100
32,41.565988,44.950124,800,100
33,41.565989,44.950149,800,100
34,41.56599,44.950174,800,100
35,41.565992,44.950199,800,100
36,41.565996,44.950224,800,100
37,41.566001,44.950248,800,100
38,41.566007,44.950272,800,100
39,41.566014,44.950295,800,100
40,41.566023,44.950317,800,100
41,41.566033,44.950339,800,100
42,41.566043,44.95036,800,100
43,41.566054,44.950381,800,100
44,41.566066,44.950401,800,100
45,41.566078,44.95042,800,100
46,41.566091,44.950438,800,100
47,41.566104,44.950457,800,100
48,41.566117,44.950474,800,100
49,41.566131,44.950492,800,100
50,41.566144,44.95051,800,100
51,41.566157,44.950529,800,100
52,41.566169,44.950548,800,100
53,41.566182,44.950567,800,100
54,41.566194,44.950586,800,100
55,41.566206,44.950606,800,100
56,41.566217,44.950626,800,100
57,41.566228,44.950646,800,100
58,41.566239,44.950667,800,100
59,41.56625,44.950687,800,100
60,41.566261,44.950708,800,100
61,41.566271,44.950729,800,100
62,41.566281,44.95075,800,100
63,41.566292,44.950771,800,100
64,41.566302,44.950793,800,100
65,41.566312,44.950814,800,100
66,41.566323,44.950835,800,100
67,41.566333,44.950856,800,100
68,41.566344,44.950876,800,100
69,41.566355,44.950897,800,100
70,41.566365,44.950918,800,100
71,41.566376,44.950939,800,100
72,41.566387,44.95096,800,100
73,41.566398,44.95098,800,100
74,41.566409,44.951,800,100
75,41.566422,44.951019,800,100
76,41.566435,44.951037,800,100
77,41.56645,44.951053,800,100
78,41.566466,44.951067,800,100
79,41.566482,44.951078,800,100
80,41.5665,44.951088,800,100
81,41.566518,44.951095,800,100
82,41.566536,44.9511,800,100
83,41.566555,44.951101,800,100
84,41.566574,44.9511,800,100
85,41.566593,44.951096,800,100
86,41.566611,44.951088,800,100
87,41.566628,44.951078,800,100
88,41.566644,44.951064,800,100
89,41.566659,44.951049,800,100
90,41.566672,44.951031,800,100
91,41.566683,44.95101,800,100
92,41.566692,44.950988,800,100
93,41.566699,44.950965,800,100
94,41.566703,44.95094,800,100
95,41.566706,44.950915,800,100
96,41.566706,44.95089,800,100
97,41.566704,44.950865,800,100
98,41.566701,44.950841,800,100
99,41.566695,44.950817,800,100
100,41.566688,44.950793,800,100
101,41.566679,44.950771,800,100
102,41.566668,44.95075,800,100
103,41.566656,44.95073,800,100
104,41.566643,44.950713,800,100
